,See the visualisation!,continent,all renewables,Unnamed: 3,excluding hydropower,all renewables 2015,Unnamed: 6,% difference 2015 vs 2020,all electricity generation,all renewables.1,non-hydro renewables,story,story source
0,https://informationisbeautiful.net/visualizations/renewable-energy-and-electricity,0,2020 or latest year,0,0,0,0.0,0,GWh,GWh,GWh,0,https://www.eia.gov/international/data/world/electricity/electricity-generation?pd=2&p=0000000000000000000000000000098&u=1&f=A&v=column&a=-&i=none&vo=value&t=C&g=00000000000000000000000000000000000000000000000001&l=249-ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvvvs&s=1420070400000&e=1577836800000&vb=146&ev=false
1,Afghanistan,Asia,82.8%,82.8%,3.8%,86.1%,0.0,-3.29%,1.1,0.9,0.04,0,0
2,Albania,Europe,100.0%,100.0%,0.4%,100.0%,0.0,0.00%,5.2,5.2,0.02,0,0
3,Algeria,Africa,1.1%,1.1%,0.9%,0.3%,0.0,0.79%,76.7,0.8,0.69,0,0
4,American Samoa,Oceania,0.0%,0.0%,0.0%,0,0.0,0,0.2,0.0,0.00,0,0
5,Angola,Africa,68.2%,68.2%,1.6%,54.5%,0.0,13.72%,13.6,9.2,0.22,0,0
6,Antarctica,Antarctica,0.0%,0.0%,0.0%,0,0.0,0,0.0,0.0,0.00,0,0
7,Antigua & Barbuda,N. America,4.4%,4.4%,4.4%,0,0.0,0,0.3,0.0,0.02,0,0
8,Argentina,S. America,27.1%,27.1%,9.5%,30.7%,0.0,-3.64%,137.8,37.3,13.02,0,0
9,Armenia,Europe,24.6%,24.6%,0.3%,29.6%,0.0,-5.03%,7.3,1.8,0.02,0,0
10,Aruba,S. America,16.0%,16.0%,16.0%,17.8%,0.0,-1.85%,0.9,0.1,0.15,0,0
11,Australia,Oceania,24.6%,24.6%,18.4%,14.4%,0.0,10.23%,243.3,59.9,44.78,0,0
12,Austria,Europe,83.9%,83.9%,20.0%,80.0%,0.0,3.93%,70.9,59.5,14.17,0,0
13,Azerbaijan,Asia,12.3%,12.3%,8.2%,7.8%,0.0,4.47%,26.2,3.2,2.14,0,0
14,Bahrain,Asia,0.0%,0.0%,0.0%,0.0%,0.0,0.03%,31.4,0.0,0.01,0,0
15,Bangladesh,Asia,1.5%,1.5%,0.5%,1.3%,0.0,0.21%,79.6,1.2,0.38,0,0
16,Barbados,N. America,3.9%,3.9%,3.9%,0,0.0,0,1.0,0.0,0.04,0,0
17,Belarus,Europe,3.3%,3.3%,2.2%,1.0%,0.0,2.31%,36.1,1.2,0.80,0,0
18,Belgium,Europe,29.8%,29.8%,28.3%,23.8%,0.0,5.98%,86.3,25.7,24.41,0,0
19,Belize,N. America,52.0%,52.0%,16.5%,95.2%,0.0,-43.24%,0.8,0.4,0.14,0,0
20,Benin,Africa,3.2%,3.2%,3.1%,2.6%,0.0,0.57%,0.2,0.0,0.01,0,0
21,Bermuda,N. America,0.0%,0.0%,0.0%,0,0.0,0,0.6,0.0,0.00,0,0
22,Bhutan,Asia,100.0%,100.0%,0.0%,100.0%,0.0,0.00%,9.0,9.0,0.00,0,0
23,Bolivia,S. America,35.6%,35.6%,5.1%,32.5%,0.0,3.13%,9.6,3.4,0.49,0,0
24,Bosnia & Herzegovina,Europe,37.3%,37.3%,1.8%,36.7%,0.0,0.59%,17.2,6.4,0.32,0,0
25,Botswana,Africa,0.2%,0.2%,0.2%,0.0%,0.0,0.24%,2.1,0.0,0.01,0,0
26,Brazil,S. America,86.0%,86.0%,20.1%,75.0%,0.0,10.96%,622.0,534.7,125.15,9% of its electricity comes from wind. Another 9% from biomass.,0
27,British Virgin Islands,N. America,1.1%,1.1%,1.1%,0,0.0,0,0.1,0.0,0.00,0,0
28,Brunei,Asia,0.0%,0.0%,0.0%,0.1%,0.0,-0.06%,4.6,0.0,0.00,0,0
29,Bulgaria,Europe,21.1%,21.1%,12.2%,18.8%,0.0,2.28%,38.0,8.0,4.65,0,0
30,Burkina Faso,Africa,12.5%,12.5%,6.1%,9.9%,0.0,2.55%,1.7,0.2,0.11,0,0
31,Myanmar,Asia,48.3%,48.3%,0.1%,60.1%,0.0,-11.83%,24.9,12.0,0.02,0,0
32,Burundi,Africa,65.5%,65.5%,3.9%,87.0%,0.0,-21.46%,0.4,0.2,0.01,0,0
33,Cabo Verde,Africa,19.0%,19.0%,19.0%,30.7%,0.0,-11.72%,0.5,0.1,0.09,0,0
34,Cambodia,Asia,50.1%,50.1%,2.2%,47.7%,0.0,2.40%,8.4,4.2,0.18,0,0
35,Cameroon,Africa,64.3%,64.3%,0.7%,77.0%,0.0,-12.67%,8.4,5.4,0.06,0,0
36,Canada,N. America,68.8%,68.8%,8.0%,64.7%,0.0,4.12%,630.2,433.7,50.69,0,0
37,Cayman Islands,N. America,100.0%,100.0%,2.3%,0,0.0,0,0.7,0.7,0.02,0,0
38,Central African Republic,Africa,99.4%,99.4%,0.0%,86.2%,0.0,13.18%,0.2,0.2,0.00,0,0
